고객사코드,굴뚝번호,굴뚝코드,굴뚝 정식 명칭,배출시설 종류,위치,굴뚝 높이(m),굴뚝 안지름(m),굴뚝 종별(종),,,,,,
CUST001,#A2020336,CUST001-#A2020336,OF5 A/W 68CH Comp. Tank,유무기산저장시설,,6.2,0.14,5,,,,,,
CUST001,#A2020337,CUST001-#A2020337,OF5 A/W 68CH Launder Tank,유무기산저장시설,,3.9,0.14,5,,,,,,
CUST001,#A2020338,CUST001-#A2020338,OF5 A/W 68CH 여액 Tank ,유무기산저장시설,,5.6,0.14,5,,,,,,
CUST001,#A2020347,CUST001-#A2020347,Final Thick'r,농축시설,,11.6,0.44,5,,,,,,
CUST001,#A2020348,CUST001-#A2020348,Final Thick'r,농축시설,,11.5,0.45,5,,,,,,
CUST001,#A2020349,CUST001-#A2020349,Foam Vessel,유무기산저장시설,,-,-,5,,,,,,
CUST001,#A2020350,CUST001-#A2020350,WAL#1 Thickener,농축시설,,-,-,5,,,,,,
CUST001,#A2020351,CUST001-#A2020351,WAL#1 Thickener,농축시설,,-,-,5,,,,,,
CUST001,#A2020352,CUST001-#A2020352,"
WAL #3 Thickener
",농축시설,,12.6,0.45,5,,,,,,
CUST001,#A2020353,CUST001-#A2020353,"
WAL #3 Thickener
",농축시설,,12.6,0.45,5,,,,,,
CUST001,#A2020354,CUST001-#A2020354,WAL Cushion Tank,유무기산저장시설,,-,-,5,,,,,,
CUST001,#A2020367,CUST001-#A2020367,NL#1 Thickener,농축시설,,-,-,5,,,,,,
CUST001,#A2020368,CUST001-#A2020368,NL#1 Thickener,농축시설,,-,-,5,,,,,,
CUST001,#A2020369,CUST001-#A2020369,NL#2 Thickener,농축시설,,-,-,5,,,,,,
CUST001,#A2020370,CUST001-#A2020370,NL#2 Thickener,농축시설,,-,-,5,,,,,,
CUST001,#A2020371,CUST001-#A2020371,NL#3 Thickener,농축시설,,-,-,5,,,,,,
CUST001,#A2020372,CUST001-#A2020372,NL#3 Thickener,농축시설,,-,-,5,,,,,,
CUST001,#A2020373,CUST001-#A2020373,NL#4 Thick'r,농축시설,,-,-,5,,,,,,
CUST001,#A2020374,CUST001-#A2020374,NL#4 Thick'r,농축시설,,-,-,5,,,,,,
CUST001,#A2020377,CUST001-#A2020377,Mn Thickener,농축시설,,15.3,0.5,5,,,,,,
CUST001,#A2020378,CUST001-#A2020378,Mn Thickener,농축시설,,15.3,0.5,5,,,,,,
CUST001,#A2020391,CUST001-#A2020391,NT #1 Thickener,농축시설,,10.4,0.45,5,,,,,,
CUST001,#A2020392,CUST001-#A2020392,NT #1 Thickener,농축시설,,11,0.46,5,,,,,,
CUST001,#A2020393,CUST001-#A2020393,NT #2 Thickener,농축시설,,10.7,0.46,5,,,,,,
CUST001,#A2020394,CUST001-#A2020394,NT #2 Thickener,농축시설,,-,-,5,,,,,,
CUST001,#A2020395,CUST001-#A2020395,Fumer HYD #1 Thickener,농축시설,,-,-,5,,,,,,
CUST001,#A2020396,CUST001-#A2020396,Fumer HYD #1 Thickener,농축시설,,-,-,5,,,,,,
CUST001,#A2020397,CUST001-#A2020397,Fumer-HYD #2 Thick'r,농축시설,,-,-,5,,,,,,
CUST001,#A2020398,CUST001-#A2020398,Fumer-HYD #2 Thick'r,농축시설,,-,-,5,,,,,,
CUST001,#A2020401,CUST001-#A2020401,CH2 Thickener (650m3),농축시설,,-,-,5,,,,,,
CUST001,#A2020402,CUST001-#A2020402,CH2 Thickener (650m3),농축시설,,-,-,5,,,,,,
CUST001,#A2040004,CUST001-#A2040004,CH2 Thickener (650m3),농축시설,,-,-,5,,,,,,
CUST001,#A2110101,CUST001-#A2110101,EC SCR,황산제조시설,,12.7,0.85,5,,,,,,
CUST001,#A2110102,CUST001-#A2110102,"EC SCR(16, 17 LINE)",황산제조시설,,13.2,0.62,5,,,,,,
CUST001,#A2110201,CUST001-#A2110201,Indium SCR,반응시설,,12.3,0.87,5,,,,,,
